Year,GWP US$
1960,9236081685709.43
1961,9485339218727.705
1962,10170604691175.97
1963,10951462528536.578
1964,12020941407380.363
1965,13259625768312.23
1966,15560253491045.432
1967,16494512666353.998
1968,17793941337557.35
1969,19682051199919.297
1970,21819145429661.67
1971,24072267496357.094
1972,27743355511368.81
1973,34175829201922.332
1974,39900260954820.664
1975,44536156003463.64
1976,48213331831932.85
1977,54454116673205.734
1978,63631292601594.03
1979,74420056596700.5
1980,84470472444219.94
1981,87687331224321.1
1982,86494292065257.08
1983,86988272701904.17
1984,89396161410868.58
1985,93818986588303.28
1986,109875182060846.39
1987,124390672597536.78
1988,140966690594112.78
1989,146670669538283.88
1990,167097361234513.34
1991,176601925907838.22
1992,186489383142138.53
1993,189667120239142.56
1994,203459662233836.8
1995,227089211833697.6
1996,233866062819154.03
1997,233551526344971.0
1998,233083713309216.7
1999,239273544865612.06
2000,246930659403339.2
2001,246472536335281.53
2002,256117497986953.84
2003,289208775634080.4
2004,328599350951158.5
2005,360029695483891.2
2006,395594161589552.9
2007,453440999940287.7
2008,506248555711391.75
2009,480565510802149.9
2010,533350019921331.5
2011,599056900858459.6
2012,615763019883456.1
2013,638322329546257.0
2014,656849434088447.5
2015,617975665864239.1
2016,625253656850761.1
2017,669031779191140.2
2018,706595909510358.9
